Stock,Initial_Portfolio,Total Open,Total Closed,Total Won,Total Lost,Strike Rate,Win Streak,Losing Streak,PnL Net,SQN,drawdown,moneydown,len_drawdown,max_drawdown,max_moneydown,max_len_drawdown,sharper
ADANIPORTS,100000,0,77,51,26,66.23376623,8,4,11724.46,1.42,2.117168236,2416.557355,208,7.687554196,8573.142174,4131,1.8
ASIANPAINT,100000,0,82,47,35,57.31707317,9,5,-6162.72,-1.06,7.192312417,7272.102463,7443,10.46479888,10580.89322,7443,-1.96
AXISBANK,100000,0,83,57,26,68.6746988,9,3,10195.51,1.34,6.317556322,7431.129218,1934,6.317556322,7431.129218,1934,1.77
BAJAJ-AUTO,100000,0,77,56,21,72.72727273,11,3,16897.32,2.19,2.795723402,3362.121362,1845,4.475509721,5382.223015,1845,3.08
BAJAJFINSV,100000,0,74,51,23,68.91891892,7,2,7437.85,1.03,3.292147022,3657.419739,1349,3.736782391,4151.066835,1349,1.26
BAJFINANCE,100000,0,83,46,37,55.42168675,6,5,1996.48,0.19,4.429134778,4726.923238,5703,10.47210996,11176.19183,5703,0.13
BHARTIARTL,100000,0,76,43,33,56.57894737,8,5,-6704.68,-0.84,10.81763869,11316.5321,2720,10.82517044,11324.4112,2720,-1.58
BPCL,100000,0,76,48,28,63.15789474,10,5,11245.15,1.23,0.849816914,953.4829655,422,7.155064701,7698.233628,2241,1.56
BRITANNIA,100000,0,65,37,28,56.92307692,13,6,-2005.42,-0.5,3.757668875,3826.083552,1864,4.47338767,4490.247353,3964,-1.27
CIPLA,100000,0,77,45,32,58.44155844,6,3,3255.79,0.5,4.565823768,4940.030618,1476,4.565823768,4940.030618,1476,0.42
COALINDIA,100000,0,76,45,31,59.21052632,5,3,2278.15,0.32,2.374664226,2487.840517,2455,3.594003895,3765.293809,2455,0.19
DRREDDY,100000,0,71,41,30,57.74647887,7,4,1676.23,0.29,2.517500022,2625.803608,3649,7.097490844,7402.826972,3649,0.04
EICHERMOT,100000,0,76,41,35,53.94736842,7,3,-958.86,-0.12,3.212692581,3287.504851,1549,9.596779331,9596.779331,3114,-0.45
GAIL,100000,0,71,42,29,59.15492958,10,6,4087.97,0.59,5.714487978,6308.598889,1844,6.305754196,6961.336531,1844,0.57
GRASIM,100000,0,46,29,17,63.04347826,7,3,9237.94,0.91,4.373005856,4995.431954,1347,5.355194862,6117.419555,1347,1.11
HCLTECH,100000,1,43,24,19,55.81395349,3,4,1074.8,0.12,5.778684159,6209.911767,2692,8.327427943,8810.870616,2692,-0.01
HDFC,100000,0,36,17,19,47.22222222,3,4,2186.61,0.23,5.559460949,6015.45117,2751,5.815828046,6292.845645,2751,0.15
HDFCBANK,100000,0,45,28,17,62.22222222,6,4,17724.67,1.49,0.643363904,762.3024196,136,8.232669945,8844.987625,1620,2.08
HEROMOTOCO,100000,0,47,30,17,63.82978723,12,3,14140.91,1.22,4.181164624,4980.669451,940,7.136323124,7567.460904,940,1.72
HINDALCO,100000,0,40,27,13,67.5,5,2,19154.91,1.39,1.126566549,1357.65428,137,8.351657392,8924.238419,512,1.77
HINDUNILVR,100000,0,48,26,22,54.16666667,5,4,-816.97,-0.1,4.600322071,4782.761075,2685,7.836819688,8147.611315,2685,-0.39
ICICIBANK,100000,0,45,27,18,60,4,3,13647.68,1.04,4.973862142,5948.551521,1504,10.59968583,11277.88477,1504,1.19
INDUSINDBK,100000,0,43,24,19,55.81395349,7,7,4348.37,0.26,12.67966307,15152.27979,2776,13.33650474,15937.20986,2776,0.37
INFY,100000,0,43,23,20,53.48837209,3,3,2421.65,0.19,7.00236545,7711.957644,2887,9.616352494,10590.83586,2887,0.19
IOC,100000,0,33,23,10,69.6969697,7,3,15145.82,1.43,0.306296246,353.7708993,616,4.154778754,4695.318356,1730,2.44
ITC,100000,0,37,20,17,54.05405405,6,4,94.99,0.01,10.43870038,11666.44111,2739,12.47324935,13940.28219,2739,-0.19
JSWSTEEL,100000,0,40,24,16,60,6,4,5904.38,0.39,7.678556467,8808.276246,2813,11.55074061,13250.16162,2813,0.57
KOTAKBANK,100000,0,43,26,17,60.46511628,5,4,40362.23,2,0.641791979,906.6523814,137,7.286710078,9778.055844,1920,3.24
LT,100000,0,45,24,21,53.33333333,5,4,11471.85,1,4.37112731,5095.298357,2358,5.984748787,6762.90957,2358,1.32
