Stock,Initial_Portfolio,Total Open,Total Closed,Total Won,Total Lost,Strike Rate,Win Streak,Losing Streak,PnL Net,SQN,drawdown,moneydown,len_drawdown,max_drawdown,max_moneydown,max_len_drawdown,sharper
M&M,100000,0,39,23,16,58.97435897,5,4,2129.67,0.29,2.203955269,2301.618798,202,9.839731202,10264.23548,2739,0.14
MARUTI,100000,0,38,17,21,44.73684211,2,5,1375.98,0.14,8.462867698,9372.497226,2649,8.557482385,9477.281552,2649,0.02
NESTLEIND,100000,0,43,27,16,62.79069767,5,3,9951.56,1.01,3.371404434,3836.24729,2725,6.969873818,7930.866814,2725,1.17
NTPC,100000,0,40,25,15,62.5,5,2,7977.58,0.62,5.563901328,6361.725945,2759,9.034020735,10329.43626,2759,0.8
ONGC,100000,0,37,20,17,54.05405405,5,3,10748.49,0.77,8.593877525,10412.42024,2666,8.593877525,10412.42024,2666,1.25
POWERGRID,100000,0,41,25,16,60.97560976,9,4,12481.39,1.07,1.317107078,1501.273794,2534,5.719311005,6435.012207,2534,1.62
RELIANCE,100000,0,42,20,22,47.61904762,3,4,-11125.02,-1.15,13.98348181,14448.17462,2977,14.90866086,15404.0988,2977,-1.79
SBIN,100000,0,46,27,19,58.69565217,6,4,2562.24,0.28,3.878401528,4138.274185,1581,6.144594604,6553.091845,1581,0.2
SHREECEM,100000,0,45,20,25,44.44444444,4,6,-4720.85,-0.61,12.82223694,14013.80095,2832,13.85081887,15137.96848,2832,-1.01
SUNPHARMA,100000,0,41,26,15,63.41463415,5,3,5018.17,0.62,1.992473527,2134.998536,2852,7.171499534,7684.489052,2852,0.71
TATAMOTORS,100000,0,38,23,15,60.52631579,5,3,14297.21,1.07,6.111165037,7439.533016,2111,7.907173566,9625.935228,2111,1.34
TATASTEEL,100000,0,41,19,22,46.34146341,3,5,12033.79,0.96,10.66241408,13371.19962,1147,10.66241408,13371.19962,1147,1.32
TCS,100000,0,45,19,26,42.22222222,3,7,-2412.6,-0.28,6.003085807,6232.391358,2976,9.443082763,9803.789135,2976,-0.65
TECHM,100000,0,39,24,15,61.53846154,6,3,11932.43,1.24,2.713238653,3121.693065,2665,6.141154247,6629.910151,2665,1.33
TITAN,100000,0,42,28,14,66.66666667,6,3,1956.78,0.19,4.612793681,4930.489012,2739,7.332518434,7837.52842,2739,0.11
ULTRACEMCO,100000,0,60,28,32,46.66666667,4,6,-8054.8,-1.49,8.327280714,8352.032301,5470,8.327280714,8352.032301,5470,-2.93
UPL,100000,0,56,35,21,62.5,8,3,5265.96,0.78,2.757296257,2984.793963,1721,6.396093872,6923.819786,1721,1.16
VEDL,100000,0,58,34,24,58.62068966,5,4,3412.78,0.38,6.492412267,7180.149082,1445,6.492412267,7180.149082,1559,0.54
WIPRO,100000,1,55,38,17,69.09090909,8,4,3289.03,0.59,2.904268034,3104.238589,2713,6.201434842,6628.428616,2713,0.88
ZEEL,100000,0,61,37,24,60.6557377,7,4,6316.32,0.7,2.191656195,2382.300016,3687,7.741046977,8414.411154,3687,0.99
